numero,intitule,classe,niveau,page
11,Réserves,1,2,3
12,Report à nouveau,1,2,3
13,Résultat net de l'exercice,1,2,3
14,Subventions d'investissement,1,2,3
15,Provisions réglementées et fonds assimilés,1,2,3
16,Emprunts et dettes assimilées,1,2,3
17,Dettes de location acquisition,1,2,3
18,Dettes liées à des participations et comptes de liaison des établissements et sociétés en participation,1,2,3
19,Provisions pour risques et charges,1,2,3
101,Capital social,1,3,3
102,Capital par dotation,1,3,3
103,Capital personnel,1,3,3
104,Compte de l'exploitant,1,3,3
105,Primes liées au capital social,1,3,3
106,Ecarts de réévaluation,1,3,3
109,"Apporteurs, capital souscrit, non appelé",1,3,3
111,RESERVE LEGALE,1,3,3
112,RESERVES STATUTAIRES OU CONTRACTUELLES,1,3,3
113,RESERVES REGLEMENTEES,1,3,3
118,AUTRES RESERVES,1,3,3
121,REPORT A NOUVEAU CREDITEUR,1,3,3
129,REPORT A NOUVEAU DEBITEUR,1,3,3
130,RESULTAT EN INSTANCE D'AFFECTATION,1,3,3
131,RESULTAT NET : BENEFICE,1,3,3
132,MARGE COMMERCIALE (M.C.),1,3,3
133,VALEUR AJOUTEE (V.A.),1,3,3
134,EXCEDENT BRUT D'EXPLOITATION (E.B.E.),1,3,3
135,RESULTAT D'EXPLOITATION (R.E.),1,3,3
136,RESULTAT FINANCIER (R.F .),1,3,3
137,RESULTAT DES ACTIVITES ORDINAIRES (R.A.O.),1,3,3
138,RESULTAT HORS ACTIVITES ORDINAIRES (R.H.A.O.),1,3,3
139,RESULTAT NET : PERTE,1,3,3
141,SUBVENTIONS D'EQUIPEMENT,1,3,3
148,AUTRES SUBVENTIONS D'INVESTISSEMENT,1,3,3
151,AMORTISSEMENTS DEROGATOIRES,1,3,3
152,PLUS-VALUES DE CESSION A REINVESTIR,1,3,3
153,FONDS REGLEMENTES,1,3,3
154,PROVISION SPECIALE DE REEVALUATION,1,3,3
155,PROVISIONS REGLEMENTEES RELATIVES AUX IMMOBILISATIONS,1,3,3
156,PROVISIONS REGLEMENTEES RELATIVES AUX STOCKS,1,3,3
157,PROVISIONS POUR INVESTISSEMENT,1,3,3
158,AUTRES PROVISIONS ET FONDS REGLEMENTES,1,3,3
161,EMPRUNTS OBLIGATAIRES,1,3,3
